OFFENSE_CODE_GROUP,DAY_OF_WEEK,count
Larceny,Friday,902
Larceny,Monday,865
Larceny,Saturday,857
Larceny,Sunday,712
Larceny,Thursday,899
Larceny,Tuesday,843
Larceny,Wednesday,871
Robbery,Friday,132
Robbery,Monday,113
Robbery,Saturday,147
Robbery,Sunday,133
Robbery,Thursday,127
Robbery,Tuesday,134
Robbery,Wednesday,124
Simple Assault,Friday,570
Simple Assault,Monday,560
Simple Assault,Saturday,620
Simple Assault,Sunday,596
Simple Assault,Thursday,532
Simple Assault,Tuesday,570
Simple Assault,Wednesday,565
Vandalism,Friday,452
Vandalism,Monday,435
Vandalism,Saturday,488
Vandalism,Sunday,493
Vandalism,Thursday,424
Vandalism,Tuesday,460
Vandalism,Wednesday,456
Verbal Disputes,Friday,469
Verbal Disputes,Monday,479
Verbal Disputes,Saturday,498
Verbal Disputes,Sunday,527
Verbal Disputes,Thursday,501
Verbal Disputes,Tuesday,475
Verbal Disputes,Wednesday,484
Warrant Arrests,Friday,200
Warrant Arrests,Monday,191
Warrant Arrests,Saturday,143
Warrant Arrests,Sunday,100
Warrant Arrests,Thursday,219
Warrant Arrests,Tuesday,205
Warrant Arrests,Wednesday,236
